CDD_ID_A,CDD_ID_D,CDD_ID_DATE,APPELLAN,APPELANT TYPE,APPELLEE,APPELEE TYPE,,
9-79-0100640,NA,9-79-0100640-2001-05-03,NORTHWEST RIVER PART,BIZ,NATIONAL WILDLIFE FE,NGO,,NORTHWEST RIVER PART v. NATIONAL WILDLIFE FE
9-79-0100640,NA,9-79-0100640-2001-05-03,NORTHWEST RIVER PART,BIZ,NATIONAL WILDLIFE FE,NGO,,NORTHWEST RIVER PART v. NATIONAL WILDLIFE FE
9-79-0100640,NA,9-79-0100640-2001-05-03,NORTHWEST RIVER PART,BIZ,NATIONAL WILDLIFE FE,NGO,,NORTHWEST RIVER PART v. NATIONAL WILDLIFE FE
9-79-0100640,NA,9-79-0100640-2001-05-03,NORTHWEST RIVER PART,BIZ,NATIONAL WILDLIFE FE,NGO,,NORTHWEST RIVER PART v. NATIONAL WILDLIFE FE
9-70-9817334,NA,9-70-9817334-1998-11-03,PHELPS-DODGE ET,BIZ,SOUTHWEST,NGO,,PHELPS-DODGE ET v. SOUTHWEST
9-79-2001395,NA,9-79-2001395-2020-08-17,SENECA SAWMILL COMPA,BIZ,CASCADIA WILDLANDS,NGO,,SENECA SAWMILL COMPA v. CASCADIA WILDLANDS
5-42-9600097,NA,5-42-9600097-1996-08-26,SOUTHWEST,BIZ,SIERRA,NGO,,SOUTHWEST v. SIERRA
9-77-1900044,NA,9-77-1900044-2019-07-01,TRANSCANADA KEYSTONE,BIZ,NORTHERN PLAINS RESO,NGO,,TRANSCANADA KEYSTONE v. NORTHERN PLAINS RESO
9-76-1800187,NA,9-76-1800187-2018-04-30,VERMILION ENERGY USA,BIZ,WESTERN WATERSHEDS P,NGO,,VERMILION ENERGY USA v. WESTERN WATERSHEDS P
9-71-0100421,NA,9-71-0100421-2004-04-30,WEST COAST SEAFOOD P,BIZ,NATURAL RESOURCES DE,NGO,,WEST COAST SEAFOOD P v. NATURAL RESOURCES DE
