CDD_ID_A,CDD_ID_D,CDD_ID_DATE,APPELLAN,APPELANT TYPE,APPELLEE,APPELEE TYPE,,
9-79-2001395,NA,9-79-2001395-2020-08-17,CASCADIA WILDLANDS,NGO,BUREAU OF LAND MANAG,FED,,CASCADIA WILDLANDS v. BUREAU OF LAND MANAG
10-84-0300252,NA,10-84-0300252-2003-03-25,CENTER ET AL,NGO,NORTON ET AL,FED,,CENTER ET AL v. NORTON ET AL
9-72-0002257,NA,9-72-0002257-2000-10-13,EARTH ET AL,NGO,USFS ET AL,FED,,EARTH ET AL v. USFS ET AL
9-71-8206850,NA,9-71-8206850-1982-12-02,EDF ET AL,NGO,REILLY,FED,,EDF ET AL v. REILLY
9-74-0100073,NA,9-74-0100073-2001-01-12,ENDANGERED,NGO,US ET AL,FED,,ENDANGERED v. US ET AL
8-64-9500010,NA,8-64-9500010-1994-12-05,FRIENDS ET AL,NGO,DOMBECK ET AL,FED,,FRIENDS ET AL v. DOMBECK ET AL
4-22-1000270,NA,4-22-1000270-2009-12-14,FRIENDS OF BACK BAY,NGO,UNITED STATES ARMY C,FED,,FRIENDS OF BACK BAY v. UNITED STATES ARMY C
9-76-2000243,NA,9-76-2000243-2020-05-20,FRIENDS OF THE CLEAR,NGO,HIGGINS,FED,,FRIENDS OF THE CLEAR v. HIGGINS
9-77-1300061,NA,9-77-1300061-2013-03-18,FRIENDS OF THE WILD,NGO,JEWELL,FED,,FRIENDS OF THE WILD v. JEWELL
11-3J-1000267,NA,11-3J-1000267-2010-11-05,GEORGIA RIVER NETWOR,NGO,U.S. ARMY CORPS OF E,FED,,GEORGIA RIVER NETWOR v. U.S. ARMY CORPS OF E
9-78-1300078,NA,9-78-1300078-2013-02-15,GREAT BASIN RESOURCE,NGO,BUREAU OF LAND MANAG,FED,,GREAT BASIN RESOURCE v. BUREAU OF LAND MANAG
9-79-0103560,NA,9-79-0103560-2001-07-05,HEADWATERS ET AL,NGO,U.S.,FED,,HEADWATERS ET AL v. U.S.
9-79-0103560,NA,9-79-0103560-2001-07-05,HEADWATERS ET AL,NGO,U.S.,FED,,HEADWATERS ET AL v. U.S.
2-07-8603292,NA,2-07-8603292-1986-10-02,HUDSON RI ET AL,NGO,DEPT OF ET AL,FED,,HUDSON RI ET AL v. DEPT OF ET AL
9-77-1900028,NA,9-77-1900028-2019-04-05,INDIGENOUS ENVIRONME,NGO,TRUMP,FED,,INDIGENOUS ENVIRONME v. TRUMP
9-79-9500419,NA,9-79-9500419-1995-10-25,ISCI,NGO,U.S. ET AL,FED,,ISCI v. U.S. ET AL
6-43-0500181,NA,6-43-0500181-2005-11-27,KENTUCKY RIVERKEEPER,NGO,STROCK,FED,,KENTUCKY RIVERKEEPER v. STROCK
9-72-1802785,NA,9-72-1802785-2018-10-16,KLAMATH-SISKIYOU WIL,NGO,GRANTHAM,FED,,KLAMATH-SISKIYOU WIL v. GRANTHAM
0-90-8002350,NA,0-90-8002350-1980-09-16,NAT.WILD.FED.,NGO,"MARSH, JOHN O.",FED,,"NAT.WILD.FED. v. MARSH, JOHN O."
9-79-0100640,NA,9-79-0100640-2001-05-03,NATIONAL ET AL,NGO,NATIONAL ET AL,FED,,NATIONAL ET AL v. NATIONAL ET AL
9-79-8800752,NA,9-79-8800752-1988-07-08,NATIONAL ET AL,NGO,U.S. ET AL,FED,,NATIONAL ET AL v. U.S. ET AL
9-79-0100640,NA,9-79-0100640-2001-05-03,NATIONAL WILDLIFE FE,NGO,NATIONAL MARINE FISH,FED,,NATIONAL WILDLIFE FE v. NATIONAL MARINE FISH
0-90-0302330,NA,0-90-0302330-2003-11-20,NATL ET AL,NGO,MANSON ET AL,FED,,NATL ET AL v. MANSON ET AL
4-22-9900011,NA,4-22-9900011-1999-01-22,NATL ET AL,NGO,US ET AL,FED,,NATL ET AL v. US ET AL
0-90-0100274,NA,0-90-0100274-2004-03-31,NATL ET AL,NGO,US ET AL,FED,,NATL ET AL v. US ET AL
9-73-9300999,NA,9-73-9300999-1993-09-29,NATURAL ET AL,NGO,USA ET AL,FED,,NATURAL ET AL v. USA ET AL
9-73-9300999,NA,9-73-9300999-1993-10-18,NATURAL ET AL,NGO,USA ET AL,FED,,NATURAL ET AL v. USA ET AL
8-69-0305019,NA,8-69-0305019-2003-02-28,NORTHERN ET AL,NGO,JACKSON ET AL,FED,,NORTHERN ET AL v. JACKSON ET AL
9-81-8800573,NA,9-81-8800573-1990-12-21,NORTHERN ET AL,NGO,LUJAN ET AL,FED,,NORTHERN ET AL v. LUJAN ET AL
9-79-0700063,NA,9-79-0700063-2007-04-27,OREGON NATURAL DESER,NGO,UNITED STATES FOREST,FED,,OREGON NATURAL DESER v. UNITED STATES FOREST
11-3A-1100578,NA,11-3A-1100578-2011-11-03,PUBLIC EMPLOYEES FOR,NGO,"SECRETARY, U.S. DEPA",FED,,"PUBLIC EMPLOYEES FOR v. SECRETARY, U.S. DEPA"
11-28-9700691,NA,11-28-9700691-1998-07-28,SIERRA CLUB,NGO,"BABBITT, BRUCE",FED,,"SIERRA CLUB v. BABBITT, BRUCE"
5-40-8500069,NA,5-40-8500069-1990-05-01,SIERRA CLUB,NGO,YEUTTER,FED,,SIERRA CLUB v. YEUTTER
10-82-8700706,NA,10-82-8700706-1987-05-14,SIERRA ET AL,NGO,DOE ET AL,FED,,SIERRA ET AL v. DOE ET AL
10-88-8700120,NA,10-88-8700120-1987-02-18,SIERRA ET AL,NGO,HODEL ET AL,FED,,SIERRA ET AL v. HODEL ET AL
5-41-0400374,NA,5-41-0400374-2006-12-05,SIERRA ET AL,NGO,JACOBS ET AL,FED,,SIERRA ET AL v. JACOBS ET AL
10-88-8700120,NA,10-88-8700120-1987-02-18,SIERRA ET AL,NGO,LUJAN ET AL,FED,,SIERRA ET AL v. LUJAN ET AL
9-79-8301153,NA,9-79-8301153-1983-07-29,SUISLAW ET AL,NGO,NATIONAL ET AL,FED,,SUISLAW ET AL v. NATIONAL ET AL
9-77-0900096,NA,9-77-0900096-2009-06-18,THE WILDERNESS SOCIE,NGO,TERLAND,FED,,THE WILDERNESS SOCIE v. TERLAND
9-78-1400134,NA,9-78-1400134-2013-06-14,WESTERN WATERSHEDS P,NGO,LUEDERS,FED,,WESTERN WATERSHEDS P v. LUEDERS
9-71-1105651,NA,9-71-1105651-2011-11-22,WILDEARTH GUARDIANS,NGO,JACKSON,FED,,WILDEARTH GUARDIANS v. JACKSON
9-77-0700102,NA,9-77-0700102-2007-07-17,ALLIANCE FOR THE WIL,NGO,AVEY,IND,,ALLIANCE FOR THE WIL v. AVEY
9-79-8906016,NA,9-79-8906016-1989-01-11,"HEADWATERS,",NGO,BUREAU ET AL,IND,,"HEADWATERS, v. BUREAU ET AL"
9-79-8906016,NA,9-79-8906016-1989-01-11,"HEADWATERS, ET A",NGO,BUREAU ET AL,IND,,"HEADWATERS, ET A v. BUREAU ET AL"
6-50-8600837,NA,6-50-8600837-1986-08-25,HISTORIC ET AL,NGO,CARD ET AL,IND,,HISTORIC ET AL v. CARD ET AL
9-70-0200761,NA,9-70-0200761-2002-04-02,SAVE,NGO,FLOWERS ET AL,IND,,SAVE v. FLOWERS ET AL
0-90-0800764,NA,0-90-0800764-2008-12-04,CONGRESS OF RACIAL E,NGO,SAFARI CLUB INTERNAT,NGO,,CONGRESS OF RACIAL E v. SAFARI CLUB INTERNAT
0-90-8500238,NA,0-90-8500238-1985-07-15,NATIONAL WILDLIF,NGO,ROBERT F. BURF,NGO,,NATIONAL WILDLIF v. ROBERT F. BURF
0-90-1000377,NA,0-90-1000377-2010-06-10,SAFARI CLUB INTERNAT,NGO,WILDEARTH GUARDIANS,NGO,,SAFARI CLUB INTERNAT v. WILDEARTH GUARDIANS
10-84-9901320,NA,10-84-9901320-1999-11-15,THE MIDDLE RIO GRAND,NGO,RIO GRANDE SILVERY M,NGO,,THE MIDDLE RIO GRAND v. RIO GRANDE SILVERY M
10-84-9901320,NA,10-84-9901320-1999-11-15,THE MIDDLE RIO GRAND,NGO,RIO GRANDE SILVERY M,NGO,,THE MIDDLE RIO GRAND v. RIO GRANDE SILVERY M
9-77-0400216,NA,9-77-0400216-2004-11-08,ALLIANCE ET AL,NGO,THE ET AL,OTHER,,ALLIANCE ET AL v. THE ET AL
9-72-9706140,NA,9-72-9706140-1997-11-21,BAY ET AL,NGO,SAN ET AL,OTHER,,BAY ET AL v. SAN ET AL
9-79-0100640,NA,9-79-0100640-2001-05-03,COLUMBIA ET AL,NGO,NATL ET AL,OTHER,,COLUMBIA ET AL v. NATL ET AL
3-91-9600114,NA,3-91-9600114-1996-05-30,HAWKSBILL ET AL,NGO,DKT-96-7661 ET,OTHER,,HAWKSBILL ET AL v. DKT-96-7661 ET
10-88-8601000,NA,10-88-8601000-1988-12-20,NATIONAL ET AL,NGO,SALT ET AL,OTHER,,NATIONAL ET AL v. SALT ET AL
9-79-0100640,NA,9-79-0100640-2001-05-03,NATL ET AL,NGO,NATL ET AL,OTHER,,NATL ET AL v. NATL ET AL
9-79-0100640,NA,9-79-0100640-2001-05-03,NATL ET AL,NGO,NATL ET AL,OTHER,,NATL ET AL v. NATL ET AL
0-90-8500973,NA,0-90-8500973-1988-03-25,NATL WILDLIFE,NGO,THOMAS ET AL,OTHER,,NATL WILDLIFE v. THOMAS ET AL
9-81-9200479,NA,9-81-9200479-1992-03-26,SAVE ET AL,NGO,SEATTLE ET AL,OTHER,,SAVE ET AL v. SEATTLE ET AL
9-79-1200642,NA,9-79-1200642-2012-03-19,THE HUMANE SOCIETY O,NGO,BLANK,OTHER,,THE HUMANE SOCIETY O v. BLANK
4-24-1200042,NA,4-24-1200042-2013-06-14,WATERKEEPER ALLIANCE,NGO,ALT,OTHER,,WATERKEEPER ALLIANCE v. ALT
10-89-1600285,NA,10-89-1600285-2016-11-08,EARTHWORKS,NGO,STATE OF WYOMING,STA,,EARTHWORKS v. STATE OF WYOMING
0-90-0800764,NA,0-90-0800764-2008-12-04,SAFARI CLUB INTERNAT,NGO,STATE OF ALASKA,STA,,SAFARI CLUB INTERNAT v. STATE OF ALASKA
0-90-0800764,NA,0-90-0800764-2008-12-04,SAFARI CLUB INTERNAT,NGO,STATE OF ALASKA,STA,,SAFARI CLUB INTERNAT v. STATE OF ALASKA
2-10-30012,NA,2-10-0030012-2003-04-21,CONSERVATION LAW,OTHER,HANNAFORD BROS,BIZ,,CONSERVATION LAW v. HANNAFORD BROS
8-63-8700021,NA,8-63-8700021-1987-02-26,NA,OTHER,ACETO CHM,BIZ,,NA v. ACETO CHM
5-3N-8800237,NA,5-3N-8800237-1988-03-17,NA,OTHER,ALLIED,BIZ,,NA v. ALLIED
5-42-8800300,NA,5-42-8800300-1988-06-02,NA,OTHER,BELL PETROLEUM,BIZ,,NA v. BELL PETROLEUM
9-73-8307996,NA,9-73-8307996-1983-12-12,NONE,OTHER,CADILLAC ET AL,BIZ,,NONE v. CADILLAC ET AL
9-73-8307996,NA,9-73-8307996-1983-12-09,NONE,OTHER,CADILLAC ET AL,BIZ,,NONE v. CADILLAC ET AL
10-82-2003668,NA,10-82-2003668-2020-12-15,CITIZENS FOR CONSTIT,OTHER,UNITED STATES OF AME,FED,,CITIZENS FOR CONSTIT v. UNITED STATES OF AME
10-82-2100923,NA,10-82-2100923-2021-03-31,CITIZENS FOR CONSTIT,OTHER,UNITED STATES OF AME,FED,,CITIZENS FOR CONSTIT v. UNITED STATES OF AME
9-79-6800513,NA,9-79-6800513-1979-11-07,NONE ET AL,OTHER,USA ET AL,FED,,NONE ET AL v. USA ET AL
9-70-8900410,NA,9-70-8900410-1989-02-27,NONE ET AL,OTHER,YEUTTER ET AL,FED,,NONE ET AL v. YEUTTER ET AL
9-73-9300499,NA,9-73-9300499-1993-05-05,THE ET AL,OTHER,UNITED ET AL,FED,,THE ET AL v. UNITED ET AL
9-76-9300333,NA,9-76-9300333-1993-08-31,V-1,OTHER,USA,FED,,V-1 v. USA
9-80-0203079,NA,9-80-0203079-2002-07-29,CONF,OTHER,MCDONALD ET AL,IND,,CONF v. MCDONALD ET AL
9-77-0200200,NA,9-77-0200200-2002-11-09,THE ET AL,OTHER,CASTANEDA ET A,IND,,THE ET AL v. CASTANEDA ET A
11-3C-8801886,NA,11-3C-8801886-1988-10-11,NA,OTHER,CITY OF BELLE G,LOC,,NA v. CITY OF BELLE G
11-28-9500033,NA,11-28-9500033-1995-07-25,-8,OTHER,"STASSINPOULOS,",OTHER,,"-8 v. STASSINPOULOS,"
9-80-8100547,NA,9-80-8100547-1981-09-10,FRANKLIN,OTHER,SKINNER ET AL,OTHER,,FRANKLIN v. SKINNER ET AL
8-60-8600678,NA,8-60-8600678-1986-11-12,NA,OTHER,SOUTHERN,OTHER,,NA v. SOUTHERN
9-81-9200479,NA,9-81-9200479-1992-03-26,NATIVE ET AL,OTHER,SEATTLE ET AL,OTHER,,NATIVE ET AL v. SEATTLE ET AL
9-77-8200015,NA,9-77-8200015-1982-02-10,NONE,OTHER,BOB ET AL,OTHER,,NONE v. BOB ET AL
9-77-8200015,NA,9-77-8200015-1982-02-10,NONE,OTHER,BOB ET AL,OTHER,,NONE v. BOB ET AL
9-77-7800110,NA,9-77-7800110-1978-07-13,NONE ET AL,OTHER,THE ET AL,OTHER,,NONE ET AL v. THE ET AL
5-41-9900419,NA,5-41-9900419-1999-12-16,SEALED,OTHER,SEALED,OTHER,,SEALED v. SEALED
11-3C-8801886,NA,11-3C-8801886-1988-10-11,NA,OTHER,SOUTH FL WATER,PUB_ORG,,NA v. SOUTH FL WATER
9-78-7300125,NA,9-78-7300125-1984-05-21,WALKER RIVER IRRIGAT,PUB_ORG,"BALE COUNTER, INC.",BIZ,,"WALKER RIVER IRRIGAT v. BALE COUNTER, INC."
2-06-8700920,NA,2-06-8700920-1987-07-10,CORNELL ET AL,PUB_ORG,USA ET AL,FED,,CORNELL ET AL v. USA ET AL
2-06-8700920,NA,2-06-8700920-1987-07-10,CORNELL ET AL,PUB_ORG,USA ET AL,FED,,CORNELL ET AL v. USA ET AL
6-47-9107172,NA,6-47-9107172-1991-03-29,EMERY,PUB_ORG,USA,FED,,EMERY v. USA
9-78-7300031,NA,9-78-7300031-1993-01-28,TRUCKEE-CARSON IRRIG,PUB_ORG,UNITED STATES OF AME,FED,,TRUCKEE-CARSON IRRIG v. UNITED STATES OF AME
9-72-9205212,NA,9-72-9205212-1992-03-20,WESTLANDS ET AL,PUB_ORG,USA,FED,,WESTLANDS ET AL v. USA
1-04-7800038,NA,1-04-7800038-1978-01-12,PR AQUEDUCT,PUB_ORG,NA,OTHER,,PR AQUEDUCT v. NA
8-64-0301555,NA,8-64-0301555-2003-07-24,NE ET AL,STA,AMERICAN ET AL,BIZ,,NE ET AL v. AMERICAN ET AL
9-78-7300125,NA,9-78-7300125-1984-05-21,NEVADA DEPARTMENT OF,STA,"BALE COUNTER, INC.",BIZ,,"NEVADA DEPARTMENT OF v. BALE COUNTER, INC."
9-78-7300125,NA,9-78-7300125-1984-05-21,NEVADA STATE ENGINEE,STA,"BACKTRACK, LLC",BIZ,,"NEVADA STATE ENGINEE v. BACKTRACK, LLC"
8-64-0301555,NA,8-64-0301555-2003-07-24,STATE ET AL,STA,AMERICAN ET AL,BIZ,,STATE ET AL v. AMERICAN ET AL
8-63-8700021,NA,8-63-8700021-1987-02-26,STATE IOWA ETAL,STA,ACETO ETAL,BIZ,,STATE IOWA ETAL v. ACETO ETAL
9-7--9400033,NA,9-7--9400033-1994-11-01,ALASKA ET AL,STA,MORRISON ET AL,FED,,ALASKA ET AL v. MORRISON ET AL
2-06-8700920,NA,2-06-8700920-1987-07-10,ALCAN,STA,USA,FED,,ALCAN v. USA
2-06-8700920,NA,2-06-8700920-1987-07-10,ALCAN ET AL,STA,USA ET AL,FED,,ALCAN ET AL v. USA ET AL
2-06-8700920,NA,2-06-8700920-1987-07-10,ALCAN ET AL,STA,USA ET AL,FED,,ALCAN ET AL v. USA ET AL
9-72-8700816,NA,9-72-8700816-1987-06-02,CALIFORNIA ET AL,STA,HODEL ET AL,FED,,CALIFORNIA ET AL v. HODEL ET AL
9-72-0802483,NA,9-72-0802483-2008-10-19,CONSERVATION CONGRES,STA,UNITED STATES FOREST,FED,,CONSERVATION CONGRES v. UNITED STATES FOREST
9-72-0802483,NA,9-72-0802483-2008-10-19,CONSERVATION CONGRES,STA,UNITED STATES FOREST,FED,,CONSERVATION CONGRES v. UNITED STATES FOREST
9-72-1300934,NA,9-72-1300934-2013-05-12,CONSERVATION CONGRES,STA,UNITED STATES FOREST,FED,,CONSERVATION CONGRES v. UNITED STATES FOREST
3-91-8400104,NA,3-91-8400104-1984-03-21,GOVT,STA,USA,FED,,GOVT v. USA
9-76-9100011,NA,9-76-9100011-2001-01-09,IDAHO ET AL,STA,KEMPTHORNE ET,FED,,IDAHO ET AL v. KEMPTHORNE ET
0-90-9900892,NA,0-90-9900892-2001-04-08,KY,STA,NORTON,FED,,KY v. NORTON
9-93-0000060,NA,9-93-0000060-2000-04-03,MARIANAS ET AL,STA,NORTON ET AL,FED,,MARIANAS ET AL v. NORTON ET AL
8-66-9804282,NA,8-66-9804282-1998-11-12,MO ET AL,STA,EPA ET AL,FED,,MO ET AL v. EPA ET AL
5-40-8700036,NA,5-40-8700036-1987-03-19,SABINE RIVER,STA,DEPT. OF INTERI,FED,,SABINE RIVER v. DEPT. OF INTERI
5-40-8700036,NA,5-40-8700036-1987-03-19,SABINE RIVER AUT,STA,DEPT INTERIOR,FED,,SABINE RIVER AUT v. DEPT INTERIOR
10-82-8602524,NA,10-82-8602524-1983-12-09,STATE,STA,U.S.,FED,,STATE v. U.S.
4-17-8400036,NA,4-17-8400036-1984-01-12,STATE ET AL,STA,HUDSON ET AL,FED,,STATE ET AL v. HUDSON ET AL
8-64-0301555,NA,8-64-0301555-2003-07-31,STATE ET AL,STA,U.S. ET AL,FED,,STATE ET AL v. U.S. ET AL
8-64-0301555,NA,8-64-0301555-2003-07-24,STATE ET AL,STA,U.S. ET AL,FED,,STATE ET AL v. U.S. ET AL
9-81-8900583,NA,9-81-8900583-1989-11-14,STATE ET AL,STA,USA,FED,,STATE ET AL v. USA
9-79-0100640,NA,9-79-0100640-2001-05-03,STATE OF OREGON,STA,NATIONAL MARINE FISH,FED,,STATE OF OREGON v. NATIONAL MARINE FISH
10-89-9900031,NA,10-89-9900031-1999-02-01,WY,STA,U. ET AL,FED,,WY v. U. ET AL
6-45-7974681,NA,6-45-7974681-1979-12-12,MI ET AL,STA,ALLEN ET AL,IND,,MI ET AL v. ALLEN ET AL
9-77-9200096,NA,9-77-9200096-1992-09-09,MONTANA ET AL,STA,MADIGAN ET AL,IND,,MONTANA ET AL v. MADIGAN ET AL
0-90-1601602,NA,0-90-1601602-2016-08-05,STONE-MANNING,STA,ASSOCIATION OF O&C C,LOC,,STONE-MANNING v. ASSOCIATION OF O&C C
10-82-8400002,NA,10-82-8400002-1984-01-03,COLO.,STA,SIERRA ET AL,NGO,,COLO. v. SIERRA ET AL
10-82-8400002,NA,10-82-8400002-1984-01-03,COLO.,STA,SIERRA ET AL,NGO,,COLO. v. SIERRA ET AL
9-77-1300061,NA,9-77-1300061-2013-03-18,MONTANA BOARD OF LAN,STA,FRIENDS OF THE WILD,NGO,,MONTANA BOARD OF LAN v. FRIENDS OF THE WILD
4-17-1500029,NA,4-17-1500029-2015-01-21,NORTH CAROLINA DEPAR,STA,CATAWBA RIVERKEEPER,NGO,,NORTH CAROLINA DEPAR v. CATAWBA RIVERKEEPER
9-81-9506244,NA,9-81-9506244-1995-08-09,OREGON ET AL,STA,NORTHWEST ET A,NGO,,OREGON ET AL v. NORTHWEST ET A
0-90-0800764,NA,0-90-0800764-2008-12-04,STATE OF ALASKA,STA,SAFARI CLUB INTERNAT,NGO,,STATE OF ALASKA v. SAFARI CLUB INTERNAT
0-90-1101548,NA,0-90-1101548-2011-08-29,STATE OF ARIZONA,STA,NATIONAL PARKS CONSE,NGO,,STATE OF ARIZONA v. NATIONAL PARKS CONSE
9-79-0100640,NA,9-79-0100640-2001-05-03,STATE OF IDAHO,STA,NATIONAL WILDLIFE FE,NGO,,STATE OF IDAHO v. NATIONAL WILDLIFE FE
9-79-0100640,NA,9-79-0100640-2001-05-03,STATE OF IDAHO,STA,NATIONAL WILDLIFE FE,NGO,,STATE OF IDAHO v. NATIONAL WILDLIFE FE
9-76-1600083,NA,9-76-1600083-2016-02-25,STATE OF IDAHO,STA,WESTERN WATERSHEDS P,NGO,,STATE OF IDAHO v. WESTERN WATERSHEDS P
0-90-2102317,NA,0-90-2102317-2021-08-31,STATE OF LOUISIANA,STA,FRIENDS OF THE EARTH,NGO,,STATE OF LOUISIANA v. FRIENDS OF THE EARTH
9-79-0100640,NA,9-79-0100640-2001-05-03,STATE OF MONTANA,STA,NATIONAL WILDLIFE FE,NGO,,STATE OF MONTANA v. NATIONAL WILDLIFE FE
9-79-0100640,NA,9-79-0100640-2001-05-03,STATE OF MONTANA,STA,NATIONAL WILDLIFE FE,NGO,,STATE OF MONTANA v. NATIONAL WILDLIFE FE
9-77-1900044,NA,9-77-1900044-2019-07-01,STATE OF MONTANA,STA,NORTHERN PLAINS RESO,NGO,,STATE OF MONTANA v. NORTHERN PLAINS RESO
10-84-9901320,NA,10-84-9901320-1999-11-15,STATE OF NEW MEXICO,STA,RIO GRANDE SILVERY M,NGO,,STATE OF NEW MEXICO v. RIO GRANDE SILVERY M
9-76-1600083,NA,9-76-1600083-2016-02-25,STATE OF UTAH,STA,WESTERN WATERSHEDS P,NGO,,STATE OF UTAH v. WESTERN WATERSHEDS P
9-79-0100640,NA,9-79-0100640-2001-05-03,STATE OF WASHINGTON,STA,NATIONAL WILDLIFE FE,NGO,,STATE OF WASHINGTON v. NATIONAL WILDLIFE FE
9-81-1101759,NA,9-81-1101759-2011-10-21,"STATE OF WASHINGTON,",STA,SIERRA CLUB,NGO,,"STATE OF WASHINGTON, v. SIERRA CLUB"
9-76-1600083,NA,9-76-1600083-2016-02-25,STATE OF WYOMING,STA,WESTERN WATERSHEDS P,NGO,,STATE OF WYOMING v. WESTERN WATERSHEDS P
9-76-1800187,NA,9-76-1800187-2018-04-30,STATE OF WYOMING,STA,WESTERN WATERSHEDS P,NGO,,STATE OF WYOMING v. WESTERN WATERSHEDS P
9-76-1800187,NA,9-76-1800187-2018-04-30,STATE OF WYOMING,STA,WESTERN WATERSHEDS P,NGO,,STATE OF WYOMING v. WESTERN WATERSHEDS P
0-90-1601599,NA,0-90-1601599-2016-08-05,STONE-MANNING,STA,AMERICAN FOREST RESO,NGO,,STONE-MANNING v. AMERICAN FOREST RESO
9-7--9400080,NA,9-7--9400080-1994-02-25,ALASKA,STA,ROBINSON,OTHER,,ALASKA v. ROBINSON
9-81-9500425,NA,9-81-9500425-1995-10-27,IDAHO ET AL,STA,THOMAS ET AL,OTHER,,IDAHO ET AL v. THOMAS ET AL
11-3C-8102373,NA,11-3C-8102373-1981-10-26,"MCC OF FLORIDA,",STA,NA,OTHER,,"MCC OF FLORIDA, v. NA"
8-67-7800090,NA,8-67-7800090-1976-11-24,STATE ET AL,STA,NATL. ET AL,OTHER,,STATE ET AL v. NATL. ET AL
10-84-9901320,NA,10-84-9901320-1999-11-15,STATE ET AL,STA,RIO ET AL,OTHER,,STATE ET AL v. RIO ET AL
10-84-9901320,NA,10-84-9901320-1999-11-15,STATE ET AL,STA,RIO ET AL,OTHER,,STATE ET AL v. RIO ET AL
8-64-0301555,NA,8-64-0301555-2003-07-24,"MANDAN, ET AL",TRIBE,AMERICAN ET AL,BIZ,,"MANDAN, ET AL v. AMERICAN ET AL"
9-70-0501914,NA,9-70-0501914-2005-06-17,HUALAPAI ET AL,TRIBE,USFS ET AL,FED,,HUALAPAI ET AL v. USFS ET AL
9-70-0501914,NA,9-70-0501914-2005-06-17,HUALAPAI TRIBE,TRIBE,UNITED STATES FOREST,FED,,HUALAPAI TRIBE v. UNITED STATES FOREST
9-76-0400299,NA,9-76-0400299-2004-06-18,NEZ,TRIBE,NOAA ET AL,FED,,NEZ v. NOAA ET AL
9-78-8600115,NA,9-78-8600115-1986-03-06,PLPTI,TRIBE,US ET AL,FED,,PLPTI v. US ET AL
9-78-2100080,NA,9-78-2100080-2021-02-11,RENO-SPARKS INDIAN C,TRIBE,MCCULLOUGH,FED,,RENO-SPARKS INDIAN C v. MCCULLOUGH
9-78-7300125,NA,9-78-7300125-1984-05-21,WALKER RIVER PAIUTE,TRIBE,UNITED STATES BOARD,FED,,WALKER RIVER PAIUTE v. UNITED STATES BOARD
9-78-0600497,NA,9-78-0600497-2006-04-20,WINNEMUCCA INDIAN CO,TRIBE,UNITED STATES OF AME,FED,,WINNEMUCCA INDIAN CO v. UNITED STATES OF AME
9-79-0100640,NA,9-79-0100640-2001-05-03,KOOTENAI TRIBE OF ID,TRIBE,NATIONAL WILDLIFE FE,NGO,,KOOTENAI TRIBE OF ID v. NATIONAL WILDLIFE FE
11-3C-8801886,NA,11-3C-8801886-1988-10-11,MICCOSUKEE TRIBE OF,TRIBE,SOUTH FLORIDA WATER,PUB_ORG,,MICCOSUKEE TRIBE OF v. SOUTH FLORIDA WATER
