fjc_ID,CIRCUIT,DISTRICT,OFFICE,DOCKET,FILEDATE,TERMDATE,PLT,PLT_typ,DEF,DEF_typ,DISP
9-71-0606523-2006-10-18-1,9,71,3,0606523,2006-10-18,2007-10-23,CENTER FOR BIOLOGICAL DIVERSIT,NGO,BOSWORTH,FED,6
4-17-0500004-2005-01-14-1,4,17,2,0500004,2005-01-14,2006-10-19,"THE NATIONAL AUDUBON, ET AL",NGO,"DEPT. OF THE NAVY, ET AL",FED,17
9-77-0800089-2008-06-23-1,9,77,9,0800089,2008-06-23,2008-11-10,"ALLIANCE FOR THE WILD R, ET AL",NGO,"TIDWELL, ET AL",FED,6
10-82-1202460-2012-09-17-1,10,82,1,1202460,2012-09-17,2012-11-29,CENTER FOR BIOLOGICAL DIVERSIT,NGO,"U.S. FOREST SERVICE, ET AL",FED,13
9-74-1900439-2019-03-05-1,9,74,3,1900439,2019-03-05,2019-10-01,"SAN DIEGO COASTKEEPER, ET AL",NGO,"SUPERIOR READY MIX CONCRETE, L",BIZ,13
9-81-1501066-2015-06-30-1,9,81,2,1501066,2015-06-30,2016-03-08,"ALPINE LAKES PROTECTION, ET AL",NGO,"UNITED STATES FOREST SE, ET AL",FED,13
9-71-9402443-1994-07-12-1,9,71,3,9402443,1994-07-12,1994-09-21,BAY INSTITUTE OF SF,NGO,US FISH & WILDLIFE,FED,0
9-73-1702066-2017-03-15-1,9,73,2,1702066,2017-03-15,2018-02-23,LOS ANGELES WATERKEEPER,NGO,"AJAX FORGE COMPANY, ET AL",BIZ,5
9-76-0800516-2008-11-28-1,9,76,4,0800516,2008-11-28,2018-05-21,WESTERN WATERSHEDS PROJECT,NGO,"KEMPTHORNE, ET AL",FED,5
9-71-9002479-1990-08-29-1,9,71,4,9002479,1990-08-29,1997-04-16,ENERGY AND RESOURCE ADVOC,NGO,KENNETH R QUITORIANO,IND,12
9-77-0300022-2004-02-02-1,9,77,9,0300022,2004-02-02,2004-06-15,"SIERRA CLUB, ET AL",NGO,"AUSTIN, ET AL",FED,6
0-90-1802230-2018-09-26-1,0,90,1,1802230,2018-09-26,2020-04-15,"WATERKEEPER ALLIANCE, I, ET AL",NGO,"WHEELER, ET AL",FED,11
3-13-9607472-1996-11-05-1,3,13,2,9607472,1996-11-05,1997-04-17,DELAWARE VALLEY TOXI,NGO,ADELPHI KITCHENS INC,BIZ,5
5-3L-9603208-1998-11-24-1,5,3L,2,9603208,1998-11-24,1999-09-08,"MS RIVER BASIN, ET AL",NGO,"LANCASTER, ET AL",FED,6
0-90-9001195-1990-05-21-1,0,90,1,9001195,1990-05-21,1994-05-31,"FLORIDA AUDUBON SOC., ET AL",NGO,"BRADY, ET AL",FED,6
7-55-8700389-1987-07-09-1,7,55,3,8700389,1987-07-09,1987-12-07,ATLANTIC STATES,NGO,PROVIMI VEAL ETAL,BIZ,5
10-88-1500090-2015-02-09-1,10,88,2,1500090,2015-02-09,2015-10-28,"WESTERN WATERSHEDS PROJ, ET AL",NGO,UNITED STATES BUREAU OF LAND M,FED,12
9-72-2201171-2022-07-06-1,9,72,2,2201171,2022-07-06,2022-11-07,CENTRAL VALLEY EDEN ENVIRONMEN,NGO,"WASTE RECOVERY WEST, LL, ET AL",BIZ,12
7-55-9100231-1991-10-04-1,7,55,1,9100231,1991-10-04,1991-12-10,ATLANTIC STATES,NGO,"VAN DYNE CROTTY, INC.",BIZ,13
0-90-8903100-1989-11-13-1,0,90,1,8903100,1989-11-13,1991-01-22,NATL. SOCIETY/ANIMAL,NGO,TURNER,FED,13
9-75-8800907-1988-12-20-1,9,75,1,8800907,1988-12-20,1990-02-09,GREENPEACE FOUNDATION ETAL,NGO,DEPT OF TRANSPORT ETAL,FED,13
9-81-0400594-2004-07-26-1,9,81,2,0400594,2004-07-26,2004-09-08,INSTITUTE FOR WILDLIFE PROTECT,NGO,NORTON,FED,6
2-06-9701686-1997-11-17-1,2,06,1,9701686,1997-11-17,2000-01-06,ALLIANCE FOR ENVIRON,NGO,AL TECH STEEL CORP,BIZ,12
9-71-2006453-2020-09-15-1,9,71,3,2006453,2020-09-15,2022-11-16,"FRIENDS OF GUALALA RIVE, ET AL",NGO,"GUALALA REDWOOD TIMBER, LLC",BIZ,14
9-71-1404596-2014-10-15-1,9,71,3,1404596,2014-10-15,2016-07-26,"SIERRA CLUB, ET AL",NGO,"UNITED STATES ENVIRONME, ET AL",FED,14
10-82-8900181-1989-02-01-1,10,82,1,8900181,1989-02-01,1991-08-13,SIERRA CLUB,NGO,ROCKWELL INTERNATIONAL CORP,BIZ,9
11-3A-1000106-2010-02-18-1,11,3A,2,1000106,2010-02-18,2011-04-06,"CONSERVANCY OF SOUTHWES, ET AL",NGO,"UNITED STATES FISH AND , ET AL",FED,14
11-3E-0802830-2008-09-09-1,11,3E,1,0802830,2008-09-09,2009-08-21,CENTER FOR BIOLOGICAL DIVERSIT,NGO,"HAMILTON, ET AL",FED,13
11-29-9240252-1992-07-15-1,11,29,4,9240252,1992-07-15,1994-08-04,LEGAL ENVIRONMENTAL ASSISTANCE,NGO,U S ENVIRONMENTAL PROTECTION,FED,5
9-81-1400844-2014-06-09-1,9,81,2,1400844,2014-06-09,2015-10-16,WASTE ACTION PROJECT,NGO,"QUALITY CARRIERS, INC.",BIZ,14
9-77-0800173-2008-12-09-1,9,77,9,0800173,2008-12-09,2009-03-02,"NATIVE ECOSYSTEMS COUNC, ET AL",NGO,"TIDWELL, ET AL",FED,12
9-73-0904045-2009-06-05-1,9,73,2,0904045,2009-06-05,2015-03-20,"ENVIRONMENTAL WORLD WAT, ET AL",NGO,"THE WALT DISNEY COMPANY, ET AL",BIZ,13
9-71-0404195-2004-10-04-1,9,71,3,0404195,2004-10-04,2005-11-21,NORTHERN CALIFORNIA RIVER WATC,NGO,CITY OF SANTA ROSA,LOC,0
9-72-1001428-2010-06-10-1,9,72,2,1001428,2010-06-10,2011-09-06,CALIFORNIA SPORTFISHING PROTEC,NGO,"NORTH STATE RENDERING, , ET AL",BIZ,13
9-77-0300029-2003-02-18-1,9,77,9,0300029,2003-02-18,2008-09-11,"CTR FOR BIOLOGICAL, ET AL",NGO,"USACE, ET AL",FED,0
